fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019
48355,TX,"Nueces County, TX",56079,21.5,27.73941,-97.521643,362294
48357,TX,"Ochiltree County, TX",62567,15.2,36.27874,-100.815864,9836
48359,TX,"Oldham County, TX",59404,22.5,35.40192,-102.59762,2112
48361,TX,"Orange County, TX",62976,15.3,30.12092,-93.893358,83396
48363,TX,"Palo Pinto County, TX",50159,16.5,32.75221,-98.317974,29189
48365,TX,"Panola County, TX",56882,15.5,32.16398,-94.305156,23194
48367,TX,"Parker County, TX",82501,26.8,32.7771,-97.805905,142878
48369,TX,"Parmer County, TX",50607,17.7,34.53216,-102.784853,9605
48371,TX,"Pecos County, TX",52763,9.8,30.77089,-102.71986,15823
48373,TX,"Polk County, TX",50416,14,30.78455,-94.837338,51353
48375,TX,"Potter County, TX",41138,14.8,35.39868,-101.893804,117415
48377,TX,"Presidio County, TX",33499,20.1,30.00589,-104.261619,6704
48379,TX,"Rains County, TX",65657,11.7,32.87058,-95.79544,12514
48381,TX,"Randall County, TX",70694,32,34.96253,-101.895547,137713
48383,TX,"Reagan County, TX",67384,10.6,31.3729,-101.513901,3849
48385,TX,"Real County, TX",40834,20.6,29.82303,-99.805303,3452
48387,TX,"Red River County, TX",41325,12.6,33.61963,-95.048429,12023
48389,TX,"Reeves County, TX",48990,10.8,31.30837,-103.712706,15976
48391,TX,"Refugio County, TX",46883,11.8,28.3125,-97.160479,6948
48393,TX,"Roberts County, TX",70705,26.3,35.83622,-100.807555,854
48395,TX,"Robertson County, TX",47016,16.1,31.02548,-96.514941,17074
48397,TX,"Rockwall County, TX",105763,40.3,32.88922,-96.407501,104915
48399,TX,"Runnels County, TX",48650,18.3,31.83331,-99.967856,10264
48401,TX,"Rusk County, TX",56036,14.5,32.10942,-94.756382,54406
48403,TX,"Sabine County, TX",43778,16,31.3433,-93.851913,10542
48405,TX,"San Augustine County, TX",40094,13.3,31.38245,-94.16318,8237
48407,TX,"San Jacinto County, TX",42633,10.9,30.57422,-95.162852,28859
