countyid,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest
38017,1,,2,,3,0,0
38035,2,,,,2,0,0
38053,,,,,1,0,0
38059,,,2,,2,0,0
38101,1,,,,1,0,0
39005,1,,,,1,0,0
39007,1,,,,1,0,0
39009,1,,4,,5,0,0
39011,,,,,1,0,0
39015,,,1,,1,0,0
39017,1,,7,,9,0,0
39019,,,1,,1,0,0
39023,,,2,,2,0,0
39025,1,,2,,4,0,0
39027,,,1,,1,0,0
39029,1,,1,,2,0,0
39031,,,2,,2,0,0
39035,20,4,13,3,44,0,0
39037,,,,,1,0,0
39039,2,,,,2,0,0
39041,1,,2,,4,0,0
39043,,,,,1,0,0
39045,,,3,,5,0,0
39049,12,1,18,1,38,0,0
39051,,,,,1,0,0
39053,,,1,,1,0,0
39055,,,,,1,0,0
39057,,,2,,3,0,0
39061,9,,18,5,34,0,0
39063,,,1,,1,0,0
39065,,,,,1,0,0
39069,,,1,,1,0,0
39073,,,1,,1,0,0
39075,1,,,,1,0,0
39079,,,1,,1,0,0
39083,,,,,1,0,0
39085,4,,2,,6,0,0
39089,1,,6,,8,0,0
39091,,,1,,1,0,0
39093,,,3,,3,0,0
39095,5,,4,,10,0,0
39099,1,,3,,4,0,0
39101,1,,,,1,0,0
39103,2,,2,,6,0,0
39105,,,1,,1,0,0
39107,1,,2,,3,0,0
39109,,,,,1,0,0
39113,6,,7,,14,0,0
39117,,,1,,1,0,0
39119,,1,1,,2,0,0
39123,3,,1,,4,0,0
39133,,,1,,1,0,0
39139,,,1,,1,0,0
39145,1,,,,1,0,0
39147,,,1,,1,0,0
39151,4,,4,,8,0,0
39153,5,,11,,19,0,0
39155,,,1,,1,0,0
39165,1,,1,,5,0,0
39167,1,,,,1,0,0
39169,,,1,,1,0,0
39171,1,,,,1,0,0
39173,,,2,,2,0,0
40013,1,,,,2,0,0
40017,,,1,,2,0,0
40027,1,,2,,4,0,0
40071,,,1,,1,0,0
40109,1,2,6,,11,0,0
40119,,,1,,1,0,0
40131,,,1,,1,0,0
40143,,2,8,,11,0,0
40145,,,1,,1,0,0
40147,,,,,1,0,0
41001,,,2,,2,0,0
41003,6,,2,,9,0,0
41005,8,,6,1,16,0,0
41007,4,,4,1,10,0,0
41009,,,,,1,0,0
41011,2,,,,2,0,0
41013,,,1,,1,0,0
41015,,,2,,2,0,0
41017,7,,11,3,25,0,0
41019,1,,5,,7,0,0
41023,1,,,,1,0,0
41025,,,1,,1,0,0
41027,1,,3,2,6,0,0
41029,3,1,6,,10,0,0
41033,5,,,,6,0,0
41035,2,,,,2,0,0
41039,6,,6,1,17,0,0
41041,3,,,1,4,0,0
41043,2,,,,2,0,0
41045,1,,1,,2,0,0
41047,3,,6,,9,0,0
41049,,,1,,1,0,0
41051,29,2,43,3,80,0,0
41057,,,3,1,4,0,0
41059,2,,1,,3,0,0
41063,,,1,,1,0,0
41065,1,,,,1,0,0
41067,9,,8,,18,0,0
41071,2,,5,,8,0,0
42001,2,,,,2,0,0
42003,9,2,23,,39,0,0
42007,2,,1,,3,0,0
42009,,,1,,1,0,0
42011,5,,2,,7,0,0
42013,1,,,,1,0,0
42015,1,,,,1,0,0
42017,2,,3,1,11,0,0
42019,4,,3,,7,0,0
42021,,,1,,1,0,0
42027,4,,1,,5,0,0
42029,10,,5,1,19,0,0
42031,1,,,,2,0,0
42033,1,,,,1,0,0
42037,3,,,,3,0,0
42039,6,,,,7,0,0
42041,2,,2,,5,0,0
42043,5,,2,1,9,0,0
42045,2,,1,,4,0,0
42047,,,,1,1,0,0
42049,3,,3,,7,0,0
42051,,,1,,1,0,0
42055,2,,,,3,0,0
42063,1,,1,,2,0,0
42069,1,,,,1,0,0
42071,11,,6,,18,0,0
42073,2,,,,2,0,0
42075,2,,,,3,0,0
