fips_txt,breweriesTOTALper10000,brewery_per_1Mpeople,median_HHI_2019,bach_deg_pct_14to18,population2019,perc_hispanic,perc_age_25_39,pop_density_per_mile,change_in_pop_decade,perc_female,
16049,1.199976,119.9976,48866,20.2,16667,0.0356,0.14,1.966062044,0.024,0.476,
50023,1.198445445,119.8445445,65879,41.5,58409,0.02,0.172,84.99155308,-0.0193,0.503,
51520,1.193175039,119.3175039,37678,24.1,16762,0.0249,0.1937,1288.096519,-0.064,0.528,
51775,1.185723884,118.5723884,54888,29.1,25301,0.0357,0.1742,1752.510909,0.0197,0.524,
56019,1.184132623,118.4132623,57224,28.8,8445,0.0501,0.1576,2.032905384,-0.0147,0.496,
26055,1.181677552,118.1677552,65041,35.1,93088,0.0296,0.1885,200.4776765,0.0656,0.511,
2220,1.177440245,117.7440245,80660,32.6,8493,0.0741,0.2231,2.958883951,-0.0457,0.49,
8107,1.170138076,117.0138076,87691,50.4,25638,0.0692,0.2201,10.85424123,0.083,0.481,
6043,1.162587921,116.2587921,52760,23.4,17203,0.1205,0.1599,11.87383353,-0.0609,0.491,
30021,1.161035644,116.1035644,56677,21,8613,0.0303,0.1794,3.631319658,-0.041,0.482,
46081,1.16081102,116.081102,53902,34.7,25844,0.0348,0.1761,32.30358672,0.0676,0.499,
23015,1.154934457,115.4934457,58619,32.7,34634,0.0135,0.1494,75.98208057,0.0051,0.51,
25007,1.153934918,115.3934918,76036,44.2,17332,0.0387,0.166,167.8725362,0.046,0.507,
23005,1.152530652,115.2530652,75254,46.7,295003,0.0216,0.2039,353.1950659,0.0452,0.516,
26029,1.147534713,114.7534713,58831,31,26143,0.0221,0.1548,62.79258008,0.0074,0.505,
13111,1.145562853,114.5562853,47980,21.3,26188,0.0262,0.133,67.71772044,0.0957,0.515,
25011,1.139925905,113.9925905,60143,37.2,70180,0.042,0.18,100.3547737,-0.017,0.513,
37011,1.139146779,113.9146779,45823,20.6,17557,0.0505,0.1877,71.05594386,-0.0137,0.458,
26019,1.125745807,112.5745807,56934,29.3,17766,0.0252,0.1549,55.57015239,0.0136,0.501,
26061,1.120950566,112.0950566,45006,33.2,35684,0.0179,0.1497,35.36223899,-0.0265,0.459,
46033,1.114578689,111.4578689,63665,25,8972,0.0438,0.1261,5.762356118,0.0843,0.505,
6027,1.108708908,110.8708908,59605,26.1,18039,0.2345,0.1745,1.771850937,-0.0281,0.499,
29025,1.10864745,110.864745,52872,18.3,9020,0.0248,0.1625,21.15419343,-0.0448,0.492,
31137,1.106929378,110.6929378,61420,25.9,9034,0.0583,0.1709,16.73613813,-0.017,0.499,
36113,1.094707869,109.4707869,63240,30,63944,0.0282,0.1751,73.7572553,-0.0276,0.509,
27133,1.073537305,107.3537305,63451,23,9315,0.0351,0.1601,19.30750018,-0.0399,0.505,
51840,1.068452169,106.8452169,60254,33.9,28078,0.1826,0.2054,3041.048413,0.0668,0.508,
8067,1.067216876,106.7216876,77829,43.9,56221,0.1277,0.206,33.22600968,0.0869,0.496,
31179,1.065530101,106.5530101,57655,34.5,9385,0.0655,0.1532,21.18916722,-0.0224,0.498,
37103,1.061683831,106.1683831,46275,13.1,9419,0.0514,0.165,20.01028238,-0.0779,0.514,
30001,1.057865228,105.7865228,49771,35.5,9453,0.055,0.1606,1.705817645,0.0219,0.488,
48259,1.054162889,105.4162889,94899,40.9,47431,0.2458,0.1591,71.59904174,0.2956,0.51,
26103,1.049490997,104.9490997,54913,31.5,66699,0.0158,0.1749,36.8828595,-0.0057,0.497,
37039,1.048511114,104.8511114,42764,19.2,28612,0.0327,0.1358,62.824696,0.0408,0.513,
19091,1.046243984,104.6243984,56695,20.8,9558,0.0451,0.1699,22.00519394,-0.0269,0.507,
26021,1.043017973,104.3017973,50659,27.7,153401,0.0576,0.1766,270.1925329,-0.0222,0.511,
35028,1.032577831,103.2577831,122001,66.5,19369,0.1845,0.1964,177.4254124,0.0733,0.489,
56029,1.027608413,102.7608413,59494,32.1,29194,0.055,0.17,4.205369055,0.0339,0.502,
36069,1.002031391,100.2031391,66754,34.5,109777,0.0511,0.1713,170.4439769,0.0168,0.511,
30053,1.001001001,100.1001001,43669,20.2,19980,0.0334,0.1337,5.530159018,0.0147,0.499,
19191,1.000450203,100.0450203,65482,29.7,19991,0.0237,0.1398,28.97800739,-0.0533,0.502,
8125,0.998103603,99.8103603,52841,22.1,10019,0.2513,0.1814,4.237429713,-0.0024,0.499,
31089,0.993344591,99.3344591,54474,21.2,10067,0.0549,0.1518,4.173024446,-0.0366,0.5,
19069,0.993048659,99.3048659,55847,17.7,10070,0.1342,0.162,17.30323796,-0.0606,0.494,
8031,0.990084033,99.0084033,75456,47.9,727211,0.2929,0.3279,4753.013072,0.1747,0.499,
53071,0.987491771,98.7491771,60202,28.6,60760,0.2167,0.1906,47.83766058,0.0326,0.491,
39123,0.987045034,98.7045034,63352,22.4,40525,0.0509,0.1464,158.9733129,-0.0223,0.503,
41051,0.984185371,98.4185371,72469,44.5,812855,0.1202,0.2772,1884.675757,0.0954,0.505,
56033,0.984090536,98.4090536,64030,30,30485,0.044,0.1762,12.07808421,0.0449,0.499,
50007,0.976956049,97.6956049,76483,50.7,163774,0.0246,0.2066,305.2193716,0.0441,0.511,
48399,0.974279034,97.4279034,48650,18.3,10264,0.348,0.1739,9.766448292,-0.0231,0.493,
55053,0.968851427,96.8851427,57247,14.4,20643,0.0366,0.1827,20.89964767,0.0094,0.465,
36095,0.967773154,96.7773154,58927,22.3,30999,0.0344,0.159,49.85212739,-0.0565,0.499,
41003,0.967190741,96.7190741,69148,53.6,93053,0.0779,0.1861,137.664382,0.0803,0.499,
19189,0.965810315,96.5810315,50258,22.4,10354,0.051,0.1596,25.85339423,-0.0494,0.507,
8029,0.962710994,96.2710994,51525,21.2,31162,0.153,0.1532,27.28602075,0.0067,0.497,
19131,0.944643869,94.4643869,61247,17.7,10586,0.0173,0.161,22.56502953,-0.0179,0.503,
27075,0.939761301,93.9761301,61082,29.8,10641,0.0144,0.1499,5.044820727,-0.0211,0.487,
2110,0.938262338,93.8262338,85419,39.5,31974,0.0699,0.2276,11.83375889,0.0219,0.491,
8085,0.935497451,93.5497451,50707,23.9,42758,0.2087,0.1634,19.08247218,0.0347,0.508,
25015,0.932661817,93.2661817,74142,46.5,160830,0.0586,0.1567,305.0326692,0.0171,0.534,
30009,0.932400932,93.2400932,57585,32,10725,0.0243,0.1411,5.234802234,0.0603,0.494,
53031,0.931069799,93.1069799,60556,41.8,32221,0.0379,0.13,17.86383545,0.0729,0.511,
31013,0.9273857,92.73857,61522,18.2,10783,0.1295,0.1748,10.02796447,-0.0487,0.502,
35051,0.926698174,92.6698174,33661,20.5,10791,0.3097,0.1274,2.582223886,-0.1109,0.498,
26097,0.926011668,92.6011668,44986,21.8,10799,0.0197,0.1442,10.57099423,-0.0291,0.492,
30083,0.925668796,92.5668796,69095,19,10803,0.0554,0.1999,5.183425514,0.0978,0.479,
27035,0.922296518,92.2296518,60384,24.3,65055,0.0154,0.1713,65.1139281,0.0393,0.503,
6093,0.918716553,91.8716553,45954,22.5,43539,0.1319,0.16,6.935295267,-0.0313,0.503,
35055,0.916786358,91.6786358,43032,28,32723,0.5654,0.156,14.85309404,-0.0065,0.511,
53043,0.914160344,91.4160344,60849,23.6,10939,0.0359,0.1401,4.734485352,0.0337,0.491,
30081,0.913116925,91.3116925,57209,27.1,43806,0.0367,0.1475,18.32257622,0.082,0.504,
30085,0.908760451,90.8760451,38409,17.1,11004,0.0414,0.1972,4.673022215,0.0526,0.499,
50027,0.90806727,90.806727,61843,36.3,55062,0.0185,0.1689,56.80377413,-0.0292,0.51,
30027,0.904977376,90.4977376,48703,28.9,11050,0.022,0.1673,2.546198526,-0.0485,0.489,
8069,0.896612207,89.6612207,75332,46.3,356899,0.1192,0.2149,137.4802485,0.1605,0.502,
53039,0.891861761,89.1861761,60567,28.9,22425,0.1172,0.1656,11.98356448,0.094,0.494,
8105,0.887547706,88.7547706,48496,23.7,11267,0.4438,0.1812,12.35473563,-0.0635,0.5,
6017,0.881546128,88.1546128,86202,33.7,192843,0.1316,0.1602,112.9134724,0.0611,0.501,
25019,0.877269936,87.7269936,96030,51.7,11399,0.1515,0.2184,253.4800978,0.1076,0.486,
30017,0.877039116,87.7039116,49379,22.5,11402,0.0374,0.1877,3.013721658,-0.026,0.501,
41015,0.872410033,87.2410033,51267,24,22925,0.0745,0.1325,14.08636771,0.0245,0.509,
6055,0.871181322,87.1181322,90230,34.9,137744,0.346,0.1876,184.0606551,0.0091,0.502,
30029,0.867001907,86.7001907,61334,29.9,103806,0.0302,0.1868,20.40348608,0.1241,0.502,
41049,0.861846074,86.1846074,59781,10.9,11603,0.3774,0.1662,5.711236759,0.0371,0.491,
30093,0.859229557,85.9229557,49249,26.4,34915,0.0467,0.1844,48.59584928,0.0205,0.497,
51131,0.853970965,85.3970965,45235,21.6,11710,0.0946,0.151,55.33712644,-0.058,0.521,
6079,0.847724038,84.7724038,76599,34.6,283111,0.2291,0.1741,85.82848249,0.0476,0.494,
36039,0.847673137,84.7673137,54746,22.1,47188,0.0626,0.1742,72.91539509,-0.0431,0.479,
27023,0.847457627,84.7457627,54984,19.1,11800,0.0808,0.1768,20.30554686,-0.0543,0.499,
50003,0.845785171,84.5785171,56948,35.7,35470,0.0223,0.1502,52.54970518,-0.0467,0.513,
36053,0.845773248,84.5773248,61713,27,70941,0.0233,0.16,108.3330025,-0.0353,0.506,
36111,0.844723015,84.4723015,64090,32.2,177573,0.1061,0.186,157.9500727,-0.0277,0.504,
55049,0.844665935,84.4665935,67390,24.3,23678,0.0201,0.168,31.04985706,-0.0004,0.497,
36101,0.838759056,83.8759056,53167,23.1,95379,0.017,0.1773,68.59040141,-0.0379,0.502,
37113,0.836633387,83.6633387,46279,24.2,35858,0.0737,0.1497,69.5518254,0.054,0.515,
30063,0.836120401,83.6120401,57279,42.5,119600,0.0342,0.2283,46.11663962,0.0861,0.5,
51600,0.832674133,83.2674133,106430,58.7,24019,0.1762,0.207,3849.815676,0.0605,0.508,
48053,0.830651023,83.0651023,62827,25.1,48155,0.2258,0.163,48.43310288,0.1122,0.51,
42039,0.827139633,82.7139633,49741,20.8,84629,0.0141,0.1659,83.60087642,-0.0489,0.51,
28161,0.825900231,82.5900231,40515,14.2,12108,0.0171,0.1691,25.92003494,-0.0471,0.521,
12037,0.824742268,82.4742268,47504,17.1,12125,0.0566,0.2111,22.67520688,0.0475,0.431,
30043,0.818263645,81.8263645,70929,34,12221,0.0294,0.1472,7.378685796,0.0667,0.49,
27071,0.817728351,81.7728351,52545,17.6,12229,0.0131,0.1453,3.939666309,-0.0885,0.5,
16021,0.816659861,81.6659861,50709,19,12245,0.0508,0.1462,9.652677051,0.104,0.498,
50001,0.815727221,81.5727221,73574,36.7,36777,0.0229,0.1596,47.99138747,-0.0012,0.501,
51735,0.814929509,81.4929509,98217,42.8,12271,0.0333,0.1697,801.1359927,0.0099,0.499,
55045,0.811688312,81.1688312,64319,23,36960,0.0313,0.1705,63.29233146,0.0032,0.503,
6023,0.811460777,81.1460777,51134,29.8,135558,0.1206,0.201,37.99285143,0.0069,0.504,
20001,0.808472795,80.8472795,46690,20.4,12369,0.0379,0.1679,24.72301785,-0.081,0.508,
26033,0.803234357,80.3234357,49610,21,37349,0.0199,0.199,23.96593986,-0.0314,0.446,
41041,0.800608462,80.0608462,52276,24.1,49962,0.0948,0.1503,50.99386077,0.0786,0.517,
36033,0.799648155,79.9648155,48943,19.4,50022,0.0362,0.209,30.7049393,-0.0315,0.449,
19197,0.796051584,79.6051584,54251,17.7,12562,0.1324,0.1578,21.64287363,-0.0531,0.497,
26069,0.795956541,79.5956541,43605,16.3,25127,0.0259,0.1397,45.76066844,-0.0302,0.504,
24035,0.7939501,79.39501,101350,34.9,50381,0.0426,0.1621,135.4662981,0.0513,0.504,
23019,0.788705734,78.8705734,50702,27.1,152148,0.0147,0.1906,44.784159,-0.0117,0.504,
33005,0.788591707,78.8591707,65326,32.6,76085,0.0198,0.1798,107.6684686,-0.0136,0.51,
37137,0.785792865,78.5792865,52522,19.4,12726,0.0426,0.1528,37.81456422,-0.0328,0.491,
42127,0.778801036,77.8801036,56265,20.4,51361,0.0486,0.1699,70.7837884,-0.0284,0.469,
33009,0.778764212,77.8764212,62468,40.5,89886,0.0254,0.1767,52.60339582,0.0085,0.506,
56001,0.771604938,77.1604938,52216,49.9,38880,0.0966,0.2146,9.097205324,0.0664,0.482,
2150,0.769349131,76.9349131,79669,26,12998,0.0864,0.2426,1.984555038,-0.0457,0.469,
55011,0.767400813,76.7400813,58407,17.9,13031,0.0233,0.16,19.40190729,-0.0427,0.49,
39009,0.765380317,76.5380317,43621,29.7,65327,0.0194,0.176,129.7205311,0.0087,0.504,
48063,0.763708569,76.3708569,47091,18.6,13094,0.259,0.1702,66.86548262,0.0529,0.514,
20085,0.759243793,75.9243793,60615,21.3,13171,0.0484,0.1577,20.07110453,-0.0221,0.498,
51113,0.754090943,75.4090943,66397,24.2,13261,0.0323,0.1602,41.35236355,-0.0035,0.516,
36121,0.752653102,75.2653102,58214,16.5,39859,0.0331,0.2066,67.24465454,-0.0576,0.458,
16057,0.747980453,74.7980453,54999,45.1,40108,0.0453,0.2011,37.27523151,0.0714,0.492,
41071,0.746965453,74.6965453,71815,26.5,107100,0.1623,0.1922,149.610259,0.0738,0.5,
13093,0.74682599,74.682599,37109,11.3,13390,0.0703,0.1895,34.16339236,-0.1141,0.454,
48171,0.741070105,74.1070105,62143,33.8,26988,0.2382,0.1367,25.50334809,0.0797,0.513,
51760,0.737731952,73.7731952,50949,38.5,230436,0.0729,0.2935,3853.122649,0.1138,0.526,
5065,0.733729547,73.3729547,40233,13.8,13629,0.0254,0.1584,23.47492236,-0.0049,0.481,
47185,0.731395136,73.1395136,43583,13.5,27345,0.0283,0.1753,72.59612449,0.055,0.51,
39107,0.728650539,72.8650539,67075,16.7,41172,0.0198,0.1753,89.03035794,0.0087,0.495,
30035,0.727114084,72.7114084,41808,19,13753,0.0357,0.1939,4.590550469,0.0257,0.515,
17127,0.72611095,72.611095,54159,13.2,13772,0.0317,0.157,58.05630264,-0.1203,0.519,
55029,0.72285673,72.285673,64217,32.1,27668,0.0346,0.1357,57.40510978,-0.0042,0.505,
30049,0.720129047,72.0129047,66075,38.6,69432,0.0343,0.1909,20.07385161,0.0869,0.505,
6015,0.719114051,71.9114051,48979,14.3,27812,0.2012,0.2148,27.63587656,-0.0287,0.454,
26077,0.716802608,71.6802608,56739,38.1,265066,0.0521,0.1988,471.9348785,0.0556,0.511,
26053,0.715563506,71.5563506,39030,19.8,13975,0.018,0.146,12.6832261,-0.1755,0.493,
5005,0.715444052,71.5444052,41950,18.3,41932,0.0263,0.1435,75.65088592,0.01,0.515,
37189,0.712035175,71.2035175,51630,41.6,56177,0.0402,0.1601,179.7341916,0.0907,0.502,
53047,0.710176834,71.0176834,44777,19,42243,0.2072,0.1692,8.018826199,0.0266,0.495,
8014,0.709572128,70.9572128,106892,55.5,70465,0.1272,0.2302,2133.105285,0.2069,0.503,
19033,0.706713781,70.6713781,54589,22.7,42450,0.0508,0.1697,74.69475448,-0.0401,0.51,
55097,0.706494094,70.6494094,58248,32,70772,0.0339,0.1765,88.38997901,0.0106,0.495,
46093,0.705915572,70.5915572,59981,27.2,28332,0.0435,0.215,8.162526822,0.1023,0.48,
18037,0.701984276,70.1984276,63869,22.2,42736,0.0871,0.1694,100.0212981,0.0198,0.498,
54037,0.699961502,69.9961502,75225,30.8,57146,0.0628,0.179,272.5976101,0.0638,0.504,
54083,0.696985538,69.6985538,46285,16.3,28695,0.0106,0.1798,27.59981187,-0.0247,0.48,
53057,0.69656747,69.656747,67551,26.3,129205,0.1861,0.1909,74.63307307,0.0952,0.505,
