median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList,BestList
47980,21.3,67.71772044,9.57%,51.50%,2.60%,114.5562853,3.3,13.30%,FALSE,FALSE
79235,51.4,2020.255015,13.47%,51.60%,7.20%,23.49763191,3.5,24.69%,FALSE,FALSE
72225,36.1,2175.387968,13.98%,51.20%,21.70%,6.408544726,3,20.36%,FALSE,FALSE
86946,34.3,1622.262765,2.19%,49.80%,10.00%,12.31321115,2.6,22.01%,FALSE,FALSE
77375,26.6,144.1360079,7.52%,50.40%,11.60%,17.91932719,2.6,19.41%,FALSE,FALSE
72295,37.8,457.5318077,18.53%,49.90%,8.50%,37.3764242,2.5,21.73%,FALSE,FALSE
75778,38.2,8.708247055,7.15%,49.80%,23.50%,173.7543982,2.6,16.68%,FALSE,FALSE
62764,24.9,133.1835627,16.42%,50.50%,4.90%,36.2106737,3.6,19.24%,FALSE,FALSE
54999,45.1,37.27523151,7.14%,49.20%,4.50%,74.79804528,2.7,20.11%,FALSE,FALSE
64041,30.1,3.108733352,13.43%,48.10%,4.70%,263.3426966,3.9,16.01%,FALSE,FALSE
53485,44.4,210.4749133,4.11%,50.30%,6.30%,23.84483688,3.8,20.13%,FALSE,FALSE
69375,38,5448.102559,-0.86%,51.40%,25.60%,16.50410768,3.8,23.54%,FALSE,FALSE
96354,48.8,2818.087994,0.65%,50.80%,14.60%,22.7538435,2.9,19.35%,FALSE,FALSE
84311,33.1,1023.737737,3.22%,50.20%,32.40%,16.90448777,4.4,18.61%,FALSE,FALSE
92638,45,1569.939369,-0.99%,50.00%,22.40%,24.40652659,4.1,17.45%,FALSE,FALSE
89379,33.7,510.2599429,-0.32%,50.20%,13.90%,19.49482412,3.3,17.84%,FALSE,FALSE
69230,44.8,144.9384727,1.13%,51.50%,5.20%,23.32130343,3.8,19.06%,FALSE,FALSE
66591,25.8,367.4854873,-2.40%,51.30%,3.40%,11.40831895,3.9,19.72%,FALSE,FALSE
57717,30.4,289.3675641,-4.08%,51.50%,5.10%,16.7430335,5.1,19.88%,FALSE,FALSE
57772,23.2,331.7751546,-3.99%,50.70%,13.20%,35.24129716,4.9,18.62%,FALSE,FALSE
57726,27.3,394.804176,-3.99%,51.80%,4.30%,11.5524133,4.5,19.84%,FALSE,FALSE
61768,34.2,224.1984932,-1.43%,52.00%,2.40%,25.68422783,4,18.96%,FALSE,FALSE
51786,19.3,78.82406917,-7.22%,51.40%,4.30%,67.41876039,4.4,15.84%,FALSE,FALSE
90249,34,825.3511736,1.91%,50.40%,18.20%,17.37259733,3.8,18.58%,FALSE,FALSE
59510,22.6,550.4341965,-4.49%,51.20%,13.50%,21.23352632,5.7,18.67%,FALSE,FALSE
56838,28.2,577.0491155,6.32%,51.10%,7.70%,21.09153992,3.1,20.57%,FALSE,FALSE
63869,22.2,100.0212981,1.98%,49.80%,8.70%,70.19842756,2.4,16.94%,FALSE,FALSE
55782,19.2,445.4973336,4.26%,50.60%,16.80%,19.38538633,3.1,19.01%,FALSE,FALSE
64614,29.5,530.78717,5.02%,51.50%,3.50%,50.94113752,3.2,19.59%,FALSE,FALSE
107710,57.8,857.3149668,18.77%,51.20%,4.30%,38.4602868,2.5,19.60%,FALSE,FALSE
85827,36.3,418.5460703,14.60%,50.00%,4.30%,23.48644539,2.7,20.03%,FALSE,FALSE
74427,31.8,493.6132099,11.70%,50.70%,3.80%,25.28972542,2.7,20.50%,FALSE,FALSE
57280,22.1,973.0079104,-2.17%,51.60%,19.60%,24.71714319,4.9,18.88%,FALSE,FALSE
56427,17.9,183.6673636,-1.44%,48.50%,6.90%,36.40069889,4.3,19.65%,FALSE,FALSE
50707,30.4,2433.981499,6.34%,51.80%,10.90%,29.02811788,3.3,23.95%,FALSE,FALSE
53113,45.6,376.2423671,7.05%,50.30%,3.60%,53.89709697,3.3,20.16%,FALSE,FALSE
74064,28.2,407.4800372,3.55%,50.50%,10.40%,23.47569385,3.7,18.93%,FALSE,FALSE
53881,29.2,593.7009938,1.80%,51.30%,9.10%,22.07294372,3.6,19.72%,FALSE,FALSE
51228,37.7,391.615947,11.73%,48.90%,8.70%,20.43610651,2.9,19.85%,FALSE,FALSE
60010,28.6,231.9462537,0.11%,50.80%,4.60%,30.48129972,3.2,19.19%,FALSE,FALSE
54589,22.7,74.69475448,-4.01%,51.00%,5.10%,70.67137809,2.7,16.97%,FALSE,FALSE
62481,30.5,159.9707384,3.76%,50.70%,2.60%,41.10532211,2.6,18.82%,FALSE,FALSE
67295,53,246.1403166,13.40%,50.40%,5.80%,33.08191081,2,21.85%,FALSE,FALSE
64783,33,316.239817,6.83%,50.70%,3.40%,35.28799414,2.9,20.42%,FALSE,FALSE
67331,36.1,854.2441116,12.14%,50.70%,8.70%,26.52189791,2.8,22.79%,FALSE,FALSE
65724,31.9,377.5314404,4.46%,50.90%,7.00%,34.69351174,3.3,20.05%,FALSE,FALSE
64151,51.1,169.5425074,7.80%,47.80%,3.70%,41.18743371,1.9,18.50%,FALSE,FALSE
62559,50.4,268.187711,9.35%,50.20%,6.50%,32.71742776,2.9,20.81%,FALSE,FALSE
91913,55.3,1272.566147,9.66%,50.90%,7.90%,6.640095219,2.8,21.16%,FALSE,FALSE
51996,46,121.7375047,4.20%,47.00%,8.40%,40.4138377,2.8,22.99%,FALSE,FALSE
60014,30.9,517.3291148,3.43%,50.60%,15.00%,19.37826766,3.5,20.96%,FALSE,FALSE
59451,30.8,325.128305,-0.60%,51.60%,12.80%,22.61484099,3.3,18.75%,FALSE,FALSE
66520,33.5,618.5000132,3.47%,50.90%,2.20%,53.4279364,3.5,21.40%,FALSE,FALSE
58981,42.9,1139.267193,8.46%,51.10%,7.40%,34.03970887,3.3,22.16%,FALSE,FALSE
59025,32.7,2015.575055,3.35%,51.70%,5.90%,26.08388316,4,21.45%,FALSE,FALSE
56303,34.7,966.3683039,-0.03%,52.30%,4.40%,6.817267685,4.4,21.12%,FALSE,FALSE
60053,32.1,909.4596606,9.33%,51.40%,4.60%,12.27546135,4.3,23.37%,FALSE,FALSE
45092,36.8,2302.780614,11.87%,52.80%,5.50%,33.32103018,4.9,25.25%,FALSE,FALSE
71526,33.5,307.9873361,10.24%,51.40%,5.90%,11.51989678,4.2,18.05%,FALSE,FALSE
58958,22.2,231.3972051,0.53%,51.00%,1.90%,46.17785864,3,18.60%,FALSE,FALSE
75254,46.7,353.1950659,4.52%,51.60%,2.20%,115.2530652,2.4,20.39%,FALSE,FALSE
58926,32.3,34.65072944,1.03%,51.50%,1.60%,127.302817,3.5,16.49%,FALSE,FALSE
55358,27.1,140.9782323,0.12%,51.30%,1.70%,49.05888702,2.9,17.63%,FALSE,FALSE
55910,31,108.9243949,0.09%,50.40%,1.60%,150.8599014,2.9,16.10%,FALSE,FALSE
58619,32.7,75.98208057,0.51%,51.00%,1.30%,115.4934457,3,14.94%,FALSE,FALSE
50344,19,27.91500549,0.24%,50.60%,1.50%,51.74644243,3.6,16.20%,FALSE,FALSE
50702,27.1,44.784159,-1.17%,50.40%,1.50%,78.87057339,3.2,19.06%,FALSE,FALSE
45333,16.5,12.86412226,-3.45%,50.30%,1.20%,59.42476824,4.5,16.44%,FALSE,FALSE
51073,29.6,54.41022142,2.34%,50.60%,1.60%,151.0764195,3.2,16.41%,FALSE,FALSE
66803,31.4,209.5874385,5.06%,51.20%,1.80%,48.16004546,2.7,18.35%,FALSE,FALSE
100916,40.9,1396.074254,7.18%,50.50%,8.40%,8.632089967,3.1,21.35%,FALSE,FALSE
76972,38.6,1382.863504,2.70%,52.70%,5.80%,10.87784184,3.7,20.11%,FALSE,FALSE
111056,31.1,434.0799054,4.09%,50.40%,4.40%,43.23155904,3.2,18.11%,FALSE,FALSE
101810,35.6,376.3379841,0.78%,50.50%,3.90%,17.80975618,2.9,17.82%,FALSE,FALSE
102951,40.6,393.1213942,10.08%,50.70%,10.50%,42.38153398,3.2,19.70%,FALSE,FALSE
91492,35.8,584.4141582,4.16%,51.00%,4.80%,11.74439499,3.3,19.17%,FALSE,FALSE
121329,61.4,1298.910031,11.85%,51.10%,7.30%,12.28161749,2.7,19.42%,FALSE,FALSE
110012,59,2138.787674,7.51%,51.60%,20.10%,10.46933057,2.9,19.56%,FALSE,FALSE
85357,32.7,1883.869805,5.05%,51.90%,19.50%,5.498572021,3.8,21.50%,FALSE,FALSE
101350,34.9,135.4662981,5.13%,50.40%,4.30%,79.39501002,3.1,16.21%,FALSE,FALSE
54351,26.8,276.7009219,4.71%,52.70%,5.50%,38.60668475,4.6,17.93%,FALSE,FALSE
65821,30.4,111.6338267,1.57%,51.50%,3.70%,57.38771138,7.4,15.27%,FALSE,FALSE
49780,31.2,7332.106147,-4.63%,53.10%,5.70%,26.9591737,5.1,26.30%,FALSE,FALSE
82686,42.8,540.9640788,-1.36%,52.20%,3.40%,28.17033664,3.9,13.53%,FALSE,FALSE
58805,33.4,134.8086208,-5.02%,51.70%,5.10%,48.02151364,3.5,16.36%,FALSE,FALSE
69857,28,1021.914821,3.00%,51.60%,8.60%,14.15385595,3.7,19.21%,FALSE,FALSE
83253,39.4,1601.89458,5.81%,51.80%,22.20%,22.81270516,3,18.70%,FALSE,FALSE
60143,37.2,100.3547737,-1.70%,51.30%,4.20%,113.9925905,2.7,18.00%,FALSE,FALSE
59918,27.2,755.698869,0.62%,51.70%,26.30%,19.29789953,4.1,19.64%,FALSE,FALSE
74142,46.5,305.0326692,1.71%,53.40%,5.90%,93.26618168,2.7,15.67%,FALSE,FALSE
106543,55.2,1970.733061,6.74%,51.00%,8.30%,18.61389751,2.3,22.57%,FALSE,FALSE
106851,53,1784.31224,5.08%,51.90%,5.00%,14.14877436,2.5,19.56%,FALSE,FALSE
90584,36.7,790.8083299,5.04%,51.40%,4.20%,23.0237029,3,16.98%,FALSE,FALSE
75843,44.8,13823.76105,10.19%,51.70%,23.30%,17.41494974,2.6,30.82%,FALSE,FALSE
77795,35.9,549.8004329,3.86%,50.70%,12.20%,27.69009248,3.1,19.36%,TRUE,TRUE
66568,22.7,143.0884201,5.65%,50.00%,7.50%,59.28134077,3.1,18.29%,FALSE,FALSE
50659,27.7,270.1925329,-2.22%,51.10%,5.80%,104.3017973,4,17.66%,FALSE,FALSE
50205,21.2,189.9642186,-1.48%,51.00%,5.50%,44.7230525,4.1,18.49%,FALSE,FALSE
