LargestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1Mpeople
FALSE,66591,66591,367.4854873,-0.024,0.513,0.034,3.9,0.1972,45.05113304
FALSE,54159,54159,58.05630264,-0.1203,0.519,0.032,5.6,0.157,18.46415185
FALSE,90904,90904,89.96366338,0.0485,0.502,0.016,3.1,0.1734,22.00123207
FALSE,63565,63565,66.76079064,-0.0564,0.504,0.105,4.8,0.1747,15.73192795
FALSE,57717,57717,289.3675641,-0.0408,0.515,0.051,5.1,0.1988,51.97775352
FALSE,56880,56880,47.34686856,-0.0686,0.448,0.032,5.1,0.2037,17.58087201
FALSE,58444,58444,55.22502172,-0.0533,0.449,0.033,3.7,0.2049,17.11039628
FALSE,57772,57772,331.7751546,-0.0399,0.507,0.132,4.9,0.1862,86.54711625
FALSE,57726,57726,394.804176,-0.0399,0.518,0.043,4.5,0.1984,51.96964972
FALSE,61768,61768,224.1984932,-0.0143,0.52,0.024,4,0.1896,80.94806372
FALSE,51786,51786,78.82406917,-0.0722,0.514,0.043,4.4,0.1584,57.93071487
FALSE,66206,66206,203.0944229,-0.0272,0.508,0.025,4.4,0.1853,15.10437121
FALSE,51575,51575,40.27727054,-0.0694,0.499,0.053,5.7,0.1758,19.38923897
FALSE,53621,53621,31.054286,-0.0512,0.506,0.099,4.1,0.1621,18.64940975
FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,132.9654622
FALSE,56958,56958,158.5080531,0.0036,0.502,0.027,4.3,0.1974,17.55679624
FALSE,59510,59510,550.4341965,-0.0449,0.512,0.135,5.7,0.1867,100.823391
FALSE,56838,56838,577.0491155,0.0632,0.511,0.077,3.1,0.2057,140.7509061
FALSE,71181,71181,205.8917495,0.0834,0.497,0.072,2.5,0.2106,28.09738554
FALSE,84137,84137,160.4183366,0.1651,0.503,0.032,2.5,0.1908,11.88537742
FALSE,59441,59441,317.286881,0.0682,0.513,0.057,3.3,0.2075,16.82340472
FALSE,54349,54349,73.34802625,-0.0254,0.504,0.015,3.5,0.1838,18.39960257
FALSE,71351,71351,162.1393025,-0.0119,0.503,0.014,3.6,0.1699,14.01522053
FALSE,59714,59714,119.8239367,0.0288,0.504,0.028,2.8,0.1868,16.74649161
FALSE,45912,45912,291.0686416,-0.031,0.518,0.026,3.9,0.1671,21.78079805
FALSE,63869,63869,100.0212981,0.0198,0.498,0.087,2.4,0.1694,46.97114406
FALSE,55782,55782,445.4973336,0.0426,0.506,0.168,3.1,0.1901,71.70771934
FALSE,64614,64614,530.78717,0.0502,0.515,0.035,3.2,0.1959,61.90608846
FALSE,67315,67315,59.19933408,-0.0145,0.502,0.013,3.4,0.1626,14.85552997
FALSE,47509,47509,158.8339282,-0.0653,0.521,0.044,3.7,0.1611,21.04864341
FALSE,51918,51918,58.84293864,-0.0389,0.5,0.016,4.1,0.1695,19.26114257
FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,120.6944573
FALSE,77905,77905,255.4376242,0.1045,0.507,0.026,2.8,0.1889,25.67229318
FALSE,64270,64270,83.61952959,0.0284,0.5,0.021,3.2,0.1818,15.55935895
FALSE,85827,85827,418.5460703,0.146,0.5,0.043,2.7,0.2003,46.60538059
FALSE,54048,54048,281.6653416,-0.0025,0.514,0.035,4,0.1785,37.00414446
FALSE,65352,65352,59.97230288,0.0025,0.503,0.062,3.7,0.1711,15.30175052
FALSE,74427,74427,493.6132099,0.117,0.507,0.038,2.7,0.205,53.74393701
FALSE,64677,64677,149.5273636,0.0264,0.5,0.082,2.8,0.1906,15.46144688
TRUE,57280,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,209.4972067
FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,70.88805005
FALSE,56261,56261,101.0089766,-0.0168,0.505,0.017,3.6,0.1711,17.77430191
FALSE,54145,54145,286.7109965,-0.016,0.5,0.044,3.7,0.1894,36.93785206
FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,552.192005
FALSE,53113,53113,376.2423671,0.0705,0.503,0.036,3.3,0.2016,150.6222582
