median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
75254,46.7,353.1950659,0.05,0.52,0.02,115.2530652,2.4,0.2,FALSE
58926,32.3,34.65072944,0.01,0.52,0.02,127.302817,3.5,0.16,FALSE
55358,27.1,140.9782323,0.00,0.51,0.02,49.05888702,2.9,0.18,FALSE
55910,31,108.9243949,0.00,0.50,0.02,150.8599014,2.9,0.16,FALSE
58619,32.7,75.98208057,0.01,0.51,0.01,115.4934457,3,0.15,FALSE
50344,19,27.91500549,0.00,0.51,0.02,51.74644243,3.6,0.16,FALSE
50702,27.1,44.784159,-0.01,0.50,0.02,78.87057339,3.2,0.19,FALSE
45333,16.5,12.86412226,-0.03,0.50,0.01,59.42476824,4.5,0.16,FALSE
51073,29.6,54.41022142,0.02,0.51,0.02,151.0764195,3.2,0.16,FALSE
66803,31.4,209.5874385,0.05,0.51,0.02,48.16004546,2.7,0.18,FALSE
100916,40.9,1396.074254,0.07,0.51,0.08,8.632089967,3.1,0.21,FALSE
76972,38.6,1382.863504,0.03,0.53,0.06,10.87784184,3.7,0.2,FALSE
111056,31.1,434.0799054,0.04,0.50,0.04,43.23155904,3.2,0.18,FALSE
101810,35.6,376.3379841,0.01,0.51,0.04,17.80975618,2.9,0.18,FALSE
102951,40.6,393.1213942,0.10,0.51,0.11,42.38153398,3.2,0.2,FALSE
91492,35.8,584.4141582,0.04,0.51,0.05,11.74439499,3.3,0.19,FALSE
121329,61.4,1298.910031,0.12,0.51,0.07,12.28161749,2.7,0.19,FALSE
110012,59,2138.787674,0.08,0.52,0.20,10.46933057,2.9,0.2,FALSE
85357,32.7,1883.869805,0.05,0.52,0.20,5.498572021,3.8,0.22,FALSE
101350,34.9,135.4662981,0.05,0.50,0.04,79.39501002,3.1,0.16,FALSE
54351,26.8,276.7009219,0.05,0.53,0.06,38.60668475,4.6,0.18,FALSE
65821,30.4,111.6338267,0.02,0.52,0.04,57.38771138,7.4,0.15,FALSE
49780,31.2,7332.106147,-0.05,0.53,0.06,26.9591737,5.1,0.26,FALSE
82686,42.8,540.9640788,-0.01,0.52,0.03,28.17033664,3.9,0.14,FALSE
58805,33.4,134.8086208,-0.05,0.52,0.05,48.02151364,3.5,0.16,FALSE
69857,28,1021.914821,0.03,0.52,0.09,14.15385595,3.7,0.19,FALSE
83253,39.4,1601.89458,0.06,0.52,0.22,22.81270516,3,0.19,FALSE
60143,37.2,100.3547737,-0.02,0.51,0.04,113.9925905,2.7,0.18,FALSE
59918,27.2,755.698869,0.01,0.52,0.26,19.29789953,4.1,0.2,FALSE
74142,46.5,305.0326692,0.02,0.53,0.06,93.26618168,2.7,0.16,FALSE
