BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people
FALSE,55081,55081,440.2506103,0.0616,0.527,0.067,3.1,0.2042,17.03101689
FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,2.9,0.2428,13.63520236
FALSE,58339,58339,1256.579707,0.0976,0.515,0.105,3.3,0.2355,20.88216715
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411
FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,2.9,0.2428,13.63520236
FALSE,58376,58376,230.3420488,0.0335,0.504,0.067,3.9,0.1985,17.1718039
FALSE,79232,79232,336.8375929,0.1427,0.513,0.073,2.9,0.1901,6.733598637
FALSE,47296,47296,168.8986154,0.0412,0.522,0.037,3.2,0.1996,28.60330082
FALSE,53115,53115,360.2098711,0.0194,0.502,0.363,4.4,0.1973,9.557670987
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191
FALSE,59193,59193,240.4283115,0.0789,0.513,0.072,3.4,0.1982,8.333888926
FALSE,41036,41036,1076.602349,0.0905,0.526,0.11,3.6,0.2265,31.16939789
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191
FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,12.31321115
FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,12.31321115
FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,37.3764242
FALSE,50709,50709,9.652677051,0.104,0.498,0.051,4.4,0.1462,81.66598612
FALSE,56729,56729,26.36902569,0.1063,0.501,0.034,4.2,0.151,43.72636044
FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,37.3764242
FALSE,56141,56141,45.22038941,0.1111,0.507,0.171,2.8,0.2086,23.02078777
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435
FALSE,57772,57772,331.7751546,-0.0399,0.507,0.132,4.9,0.1862,35.24129716
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768
FALSE,53485,53485,210.4749133,0.0411,0.503,0.063,3.8,0.2013,23.84483688
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768
FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,17.37259733
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768
FALSE,90904,90904,89.96366338,0.0485,0.502,0.016,3.1,0.1734,57.74172128
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768
FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,17.37259733
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768
FALSE,92638,92638,1569.939369,-0.0099,0.5,0.224,4.1,0.1745,24.40652659
FALSE,59510,59510,550.4341965,-0.0449,0.512,0.135,5.7,0.1867,21.23352632
FALSE,90904,90904,89.96366338,0.0485,0.502,0.016,3.1,0.1734,57.74172128
FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,24.71714319
FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,24.71714319
FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,36.40069889
FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,38.4602868
FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,38.4602868
FALSE,55782,55782,445.4973336,0.0426,0.506,0.168,3.1,0.1901,19.38538633
FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,29.02811788
FALSE,64614,64614,530.78717,0.0502,0.515,0.035,3.2,0.1959,50.94113752
FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,29.02811788
FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,36.40069889
FALSE,59441,59441,317.286881,0.0682,0.513,0.057,3.3,0.2075,8.452942469
FALSE,53113,53113,376.2423671,0.0705,0.503,0.036,3.3,0.2016,53.89709697
FALSE,64098,64098,78.19731629,-0.0103,0.476,0.02,3.5,0.185,26.61273153
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414
FALSE,65724,65724,377.5314404,0.0446,0.509,0.07,3.3,0.2005,34.69351174
FALSE,53223,53223,22.54093886,-0.0331,0.493,0.02,3.7,0.1515,56.98330389
FALSE,70091,70091,29.44322517,-0.0443,0.493,0.016,2.4,0.1562,58.78549174
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414
FALSE,65482,65482,28.97800739,-0.0533,0.502,0.024,2.9,0.1398,100.0450203
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414
FALSE,67331,67331,854.2441116,0.1214,0.507,0.087,2.8,0.2279,26.52189791
FALSE,62559,62559,268.187711,0.0935,0.502,0.065,2.9,0.2081,32.71742776
FALSE,59451,59451,325.128305,-0.006,0.516,0.128,3.3,0.1875,22.61484099
FALSE,49840,49840,39.16934325,-0.0149,0.514,0.218,3.4,0.1827,30.12501883
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316
FALSE,66520,66520,618.5000132,0.0347,0.509,0.022,3.5,0.214,53.4279364
FALSE,58981,58981,1139.267193,0.0846,0.511,0.074,3.3,0.2216,34.03970887
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316
FALSE,53050,53050,191.260545,0.0524,0.511,0.041,4.1,0.2144,4.915550837
FALSE,54080,54080,151.226643,0.0792,0.506,0.069,4.3,0.2234,15.74319697
FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,4.9,0.2525,33.32103018
FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,4.9,0.2525,33.32103018
FALSE,45333,45333,12.86412226,-0.0345,0.503,0.012,4.5,0.1644,59.42476824
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652
FALSE,50702,50702,44.784159,-0.0117,0.504,0.015,3.2,0.1906,78.87057339
FALSE,50344,50344,27.91500549,0.0024,0.506,0.015,3.6,0.162,51.74644243
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398
