,0,1,2,3,4,5,6,7,8,9
129,48496,12.35473563,-0.0635,0.5,0.444,4.1,0.1812,88.75477057,0.237,0
130,87691,10.85424123,0.083,0.481,0.069,2.2,0.2201,117.0138076,0.504,0
131,37004,2.153683496,0.1049,0.503,0.364,4,0.1306,146.5416178,0.229,0
132,50524,1.878767859,0.0398,0.449,0.125,3,0.169,2747.252747,0.345,0
133,77209,6.357010783,0.1003,0.472,0.114,2.8,0.2294,244.528671,0.567,0
134,86570,50.97491937,0.0973,0.453,0.146,1.8,0.2815,225.7263552,0.51,0
135,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,157.5547503,0.34,0
136,78160,81.38265135,0.2209,0.494,0.3,2.5,0.2294,40.06262096,0.267,0
137,52841,4.237429713,-0.0024,0.499,0.251,1.6,0.1814,99.81036032,0.221,0
138,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,16.96115472,0.474,1
139,75336,1213.064398,-0.0026,0.514,0.188,3.9,0.1993,21.30713677,0.378,1
140,81015,195.8948901,-0.0532,0.505,0.071,3.5,0.1614,38.8170773,0.351,1
141,81721,439.8471707,-0.0199,0.513,0.066,3.2,0.1742,30.78135389,0.415,1
142,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981,0.349,1
143,75226,398.8791929,-0.0334,0.498,0.111,3.6,0.1908,37.70653756,0.333,1
144,90181,367.4204196,-0.0131,0.5,0.059,3.3,0.1677,6.634775512,0.412,0
145,63309,227.6851689,-0.0141,0.504,0.124,4,0.1904,34.25185388,0.241,1
146,58804,308.414324,0.1022,0.518,0.074,4.2,0.198,22.12560707,0.236,0
147,76076,1310.746776,0.0363,0.516,0.104,3.7,0.2105,16.10729607,0.359,1
148,64839,250.2192657,0.1583,0.516,0.093,3.8,0.1495,46.9633899,0.265,1
149,90395,11560.5589,0.1474,0.526,0.113,5.5,0.3236,24.08788394,0.576,1
150,49880,307.4706864,0.0807,0.518,0.105,2.9,0.2158,22.30126783,0.425,1
151,60454,49.91191512,0.0717,0.474,0.028,3.1,0.2186,34.23485108,0.134,0
152,58376,230.3420488,0.0335,0.504,0.067,3.9,0.1985,17.1718039,0.228,0
153,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,19.93547551,0.293,1
154,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,7.169273722,0.319,0
155,54756,277.694887,0.1532,0.513,0.077,3.7,0.1148,5.293526018,0.232,0
156,49762,257.2769969,0.0563,0.515,0.061,4.8,0.1259,13.3638921,0.176,0
157,76415,192.6124092,0.1647,0.507,0.286,3.1,0.1435,10.39225569,0.362,0
158,47087,89.88006129,0.058,0.482,0.067,3.2,0.1921,13.94972519,0.156,0
159,58339,1256.579707,0.0976,0.515,0.105,3.3,0.2355,20.88216715,0.292,1
160,52822,484.8970464,0.065,0.506,0.059,3.2,0.2084,15.70766157,0.264,0
161,62831,237.0550878,0.1684,0.519,0.109,3.8,0.137,8.689531721,0.244,0
162,47504,22.67520688,0.0475,0.431,0.057,3.5,0.2111,82.4742268,0.171,0
163,50705,410.3788259,0.109,0.518,0.148,4.2,0.1576,10.31353135,0.175,0
164,45723,104.484982,0.07,0.512,0.211,4.5,0.1416,9.414334265,0.17,0
165,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411,0.327,1
166,61173,318.0192972,0.1369,0.52,0.127,3.8,0.1374,18.75902778,0.283,0
167,57660,391.2248863,0.1909,0.516,0.167,3.2,0.1661,10.89567932,0.227,0
168,62364,982.2361134,0.197,0.51,0.225,3.1,0.1621,10.38183076,0.278,0
169,55081,440.2506103,0.0616,0.527,0.067,3.1,0.2042,17.03101689,0.457,1
170,64151,542.7866114,0.1994,0.517,0.169,3.1,0.1573,14.87899656,0.293,0
171,49079,230.7152964,0.0938,0.521,0.141,3.8,0.1613,2.735386879,0.194,0
172,54991,1431.689462,0.0812,0.514,0.694,2.4,0.209,6.625100297,0.288,0
173,67528,75.49004253,0.0153,0.482,0.253,2.1,0.1839,67.36002587,0.333,1
174,72818,136.6322407,0.1728,0.509,0.047,2.9,0.1724,45.13399154,0.282,0
175,63520,226.539833,0.142,0.493,0.097,2.7,0.2277,18.98091469,0.306,1
176,63133,1542.403443,0.1776,0.509,0.327,2.9,0.2428,13.63520236,0.338,1
177,52270,283.0616225,0.2849,0.506,0.558,3.3,0.2177,2.661336896,0.205,0
178,66621,759.8731421,0.118,0.515,0.234,3.3,0.177,10.0215798,0.357,0
179,55745,741.6754364,0.1611,0.514,0.165,3.5,0.1741,10.83136112,0.234,0
180,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364,0.31,1
181,51817,403.1383268,0.1693,0.51,0.246,3.7,0.1942,5.518938929,0.2,0
182,90839,440.6389691,0.282,0.513,0.075,2.6,0.16,18.89130698,0.437,0
183,57292,574.0200655,0.1538,0.512,0.199,3.9,0.1701,9.138067055,0.203,0
184,66139,182.1985854,0.1787,0.49,0.059,3,0.2072,10.85110654,0.281,0
185,66258,780.2967611,0.1252,0.524,0.096,3.1,0.1259,13.83310816,0.347,0
186,69954,1525.853677,0.1041,0.516,0.225,2.9,0.219,14.83597767,0.382,1
187,63464,242.1137507,0.2945,0.503,0.059,4.6,0.0896,7.551729346,0.311,0
188,53554,502.514005,0.1061,0.512,0.15,3.4,0.1716,9.036950282,0.236,0
189,62600,71.38513432,0.2569,0.495,0.065,2.8,0.1841,13.50056027,0.284,0
190,60254,234.4454503,0.0704,0.507,0.092,3.3,0.2014,9.281776161,0.195,0
191,43066,613.2197852,-0.0156,0.532,0.035,3.9,0.1983,13.05832501,0.257,0
192,48788,118.3218417,0.118,0.51,0.042,3.7,0.1943,12.5615516,0.274,0
193,59193,240.4283115,0.0789,0.513,0.072,3.4,0.1982,8.333888926,0.206,0
194,57122,678.7169031,0.084,0.52,0.067,3.3,0.2301,20.73040113,0.332,1
195,88635,613.6802364,0.1717,0.508,0.111,2.7,0.187,7.728781596,0.37,0
196,41036,1076.602349,0.0905,0.526,0.11,3.6,0.2265,31.16939789,0.427,1
197,79622,2238.678365,0.0948,0.515,0.133,3,0.2195,13.15545405,0.465,1
198,88285,540.2254473,0.2084,0.512,0.071,3,0.2145,6.381050831,0.351,0
199,79232,336.8375929,0.1427,0.513,0.073,2.9,0.1901,6.733598637,0.298,0
200,63606,2837.623607,0.0888,0.528,0.085,3.4,0.244,9.219053941,0.434,1
201,37109,34.16339236,-0.1141,0.454,0.07,3.8,0.1895,74.68259895,0.113,0
202,36894,267.5964209,-0.0751,0.54,0.031,4.7,0.1933,22.73864205,0.214,0
203,47980,67.71772044,0.0957,0.515,0.026,3.3,0.133,114.5562853,0.213,0
204,94563,588.7610501,0.0686,0.516,0.075,3,0.1451,17.47930887,0.465,1
205,50520,193.1670429,0.0221,0.516,0.116,3.8,0.1927,10.15249041,0.204,0
206,113332,1090.308498,0.2814,0.504,0.097,2.7,0.1726,4.09413229,0.517,0
207,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191,0.514,1
208,58017,203.1956889,0.0664,0.53,0.068,3.3,0.1767,11.72442902,0.296,0
209,60973,47.2956754,0.1272,0.511,0.064,3.9,0.1446,54.57323728,0.258,0
210,72225,2175.387968,0.1398,0.512,0.217,3,0.2036,6.408544726,0.361,0
