Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
175,FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,21,2.9,0.1935
176,FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,85,3.8,0.2354
177,FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,12,3.8,0.1858
178,FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,85,3.8,0.2354
179,FALSE,90904,90904,89.96366338,0.0485,0.502,0.016,2,3.1,0.1734
180,FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,85,3.8,0.2354
181,FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,12,3.8,0.1858
182,FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,21,2.9,0.1935
183,FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,85,3.8,0.2354
184,FALSE,92638,92638,1569.939369,-0.0099,0.5,0.224,17,4.1,0.1745
185,FALSE,59510,59510,550.4341965,-0.0449,0.512,0.135,6,5.7,0.1867
186,FALSE,90904,90904,89.96366338,0.0485,0.502,0.016,2,3.1,0.1734
187,FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,12,4.9,0.1888
188,FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,12,4.9,0.1888
189,FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4,4.3,0.1965
190,FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,13,2.5,0.196
191,FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,13,2.5,0.196
192,FALSE,55782,55782,445.4973336,0.0426,0.506,0.168,4,3.1,0.1901
193,FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,28,3.3,0.2395
194,FALSE,64614,64614,530.78717,0.0502,0.515,0.035,4,3.2,0.1959
195,FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,28,3.3,0.2395
196,FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4,4.3,0.1965
197,FALSE,59441,59441,317.286881,0.0682,0.513,0.057,1,3.3,0.2075
198,FALSE,53113,53113,376.2423671,0.0705,0.503,0.036,8,3.3,0.2016
199,FALSE,64098,64098,78.19731629,-0.0103,0.476,0.02,1,3.5,0.185
200,FALSE,64783,64783,316.239817,0.0683,0.507,0.034,8,2.9,0.2042
201,FALSE,65724,65724,377.5314404,0.0446,0.509,0.07,6,3.3,0.2005
202,FALSE,53223,53223,22.54093886,-0.0331,0.493,0.02,1,3.7,0.1515
203,FALSE,70091,70091,29.44322517,-0.0443,0.493,0.016,1,2.4,0.1562
204,FALSE,64783,64783,316.239817,0.0683,0.507,0.034,8,2.9,0.2042
205,FALSE,65482,65482,28.97800739,-0.0533,0.502,0.024,2,2.9,0.1398
206,FALSE,64783,64783,316.239817,0.0683,0.507,0.034,8,2.9,0.2042
207,FALSE,67331,67331,854.2441116,0.1214,0.507,0.087,13,2.8,0.2279
208,FALSE,62559,62559,268.187711,0.0935,0.502,0.065,4,2.9,0.2081
209,FALSE,59451,59451,325.128305,-0.006,0.516,0.128,4,3.3,0.1875
210,FALSE,49840,49840,39.16934325,-0.0149,0.514,0.218,1,3.4,0.1827
211,FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,20,4,0.2145
212,FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,20,4,0.2145
213,FALSE,66520,66520,618.5000132,0.0347,0.509,0.022,5,3.5,0.214
214,FALSE,58981,58981,1139.267193,0.0846,0.511,0.074,11,3.3,0.2216
215,FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,20,4,0.2145
216,FALSE,53050,53050,191.260545,0.0524,0.511,0.041,1,4.1,0.2144
217,FALSE,54080,54080,151.226643,0.0792,0.506,0.069,2,4.3,0.2234
218,FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,13,4.9,0.2525
219,FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,13,4.9,0.2525
220,FALSE,45333,45333,12.86412226,-0.0345,0.503,0.012,3,4.5,0.1644
221,FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,34,2.4,0.2039
222,FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,34,2.4,0.2039
223,FALSE,50702,50702,44.784159,-0.0117,0.504,0.015,12,3.2,0.1906
224,FALSE,50344,50344,27.91500549,0.0024,0.506,0.015,3,3.6,0.162
225,FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,34,2.4,0.2039
226,FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,11,3.2,0.197
227,FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,11,3.2,0.197
228,FALSE,54351,54351,276.7009219,0.0471,0.527,0.055,4,4.6,0.1793
229,FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,11,3.2,0.197
230,FALSE,85357,85357,1883.869805,0.0505,0.519,0.195,5,3.8,0.215
231,FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,11,2.9,0.1956
232,FALSE,101810,101810,376.3379841,0.0078,0.505,0.039,3,2.9,0.1782
233,FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,11,2.9,0.1956
234,FALSE,49780,49780,7332.106147,-0.0463,0.531,0.057,16,5.1,0.263
235,FALSE,60143,60143,100.3547737,-0.017,0.513,0.042,8,2.7,0.18
236,FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,6,3.5,0.1636
237,FALSE,74142,74142,305.0326692,0.0171,0.534,0.059,15,2.7,0.1567
238,FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,14,2.6,0.3082
239,FALSE,90584,90584,790.8083299,0.0504,0.514,0.042,12,3,0.1698
240,FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,30,2.3,0.2257
